title,author,rating,genres,pages,description,main genre
That Summer,Jennifer Weiner,3.75,"['Fiction', 'Audiobook', 'Chick', 'Lit', 'Contemporary', 'Romance', 'Adult', 'Adult', 'Fiction']",432,"From the #1 New York Times bestselling author of Big Summer comes another timely and deliciously twisty novel of intrigue, secrets, and the transformative power of female friendship, set on beautiful Cape Cod.Daisy Shoemaker can’t sleep. With a thriving cooking business, full schedule of volunteer work, and a beautiful home in the Philadelphia suburbs, she should be content. But her teenage daughter can be a handful; her husband can be distant, her work can feel trivial, and she has lots of acquaintances, but no real friends. Still, Daisy knows she’s got it good. So why is she up all night? While Daisy tries to identify the root of her dissatisfaction, she’s also receiving misdirected emails meant for a woman named Diana Starling, whose email address is just one punctuation mark away from her own. While Daisy’s driving carpools, Diana is chairing meetings. While Daisy’s making dinner, Diana’s making plans to reorganize corporations. Diana’s glamorous, sophisticated, single-lady life is miles away from Daisy’s simpler existence. When an apology leads to an invitation, the two women meet and become friends. But, as they get closer, we learn that their connection was not completely accidental. Who IS this other woman, and what does she want with Daisy? From the manicured Main Line of Philadelphia to the wild landscape of the Outer Cape, written with Jennifer Weiner’s signature wit and sharp observations, THAT SUMMER is a story about surviving our pasts, confronting our futures, and the sustaining bonds of friendship.",fiction
We Are the Brennans,Tracey Lange,3.82,"['Fiction', 'Contemporary', 'Audiobook', 'Family', 'Literary', 'Fiction', 'Adult', 'Romance']",274,"In the vein of Mary Beth Keane’s Ask Again, Yes and Cynthia D'Aprix Sweeney's The Nest, Tracey Lange’s We Are the Brennans explores the staying power of shame―and the redemptive power of love―in an Irish Catholic family torn apart by secrets.When twenty-nine-year-old Sunday Brennan wakes up in a Los Angeles hospital, bruised and battered after a drunk driving accident she caused, she swallows her pride and goes home to her family in New York. But it’s not easy. She deserted them all―and her high school sweetheart―five years before with little explanation, and they've got questions.Sunday is determined to rebuild her life back on the east coast, even if it does mean tiptoeing around resentful brothers and an ex-fiancé. The longer she stays, however, the more she realizes they need her just as much as she needs them. When a dangerous man from her past brings her family’s pub business to the brink of financial ruin, the only way to protect them is to upend all their secrets―secrets that have damaged the family for generations and will threaten everything they know about their lives. In the aftermath, the Brennan family is forced to confront painful mistakes―and ultimately find a way forward, together.",fiction
The One Hundred Years of Lenni and Margot,Marianne Cronin,4.31,"['Fiction', 'Contemporary', 'Audiobook', 'Romance', 'Young', 'Adult', 'Adult', 'LGBT']",326,"A charming, fiercely alive and disarmingly funny debut novel in the vein of John Green, Rachel Joyce, and Jojo Moyes—a brave testament to the power of living each day to the fullest, a tribute to the stories that we live, and a reminder of our unlimited capacity for friendship and love.An extraordinary friendship. A lifetime of stories that begins at the end . . . Seventeen-year-old Lenni Pettersson lives on the Terminal Ward at the Glasgow Princess Royal Hospital. Though the teenager has been told she’s dying, she still has plenty of living to do. Joining the hospital’s arts and crafts class, she meets the magnificent Margot, an 83-year-old, purple-pajama-wearing, fruitcake-eating rebel, who transforms Lenni in ways she never imagined.As their friendship blooms, a world of stories opens for these unlikely companions who, between them, have been alive for one hundred years. Though their days are dwindling, both are determined to leave their mark on the world. With the help of Lenni’s doting palliative care nurse and Father Arthur, the hospital’s patient chaplain, Lenni and Margot devise a plan to create one hundred paintings showcasing the stories of the century they have lived—stories of love and loss, of courage and kindness, of unexpected tenderness and pure joy.Though the end is near, life isn’t quite done with these unforgettable women just yet.Delightfully funny and bittersweet, heartbreaking yet ultimately uplifting, The One Hundred Years of Lenni and Margot reminds us of the preciousness of life as it considers the legacy we choose to leave, how we influence the lives of others even after we’re gone, and the wonder of a friendship that transcends time.",fiction
Black Buck,Mateo Askaripour,3.72,"['Fiction', 'Contemporary', 'Audiobook', 'Humor', 'Race', 'Literary', 'Fiction', 'Adult']",400,"For fans of Sorry to Bother You and The Wolf of Wall Street—a crackling, satirical debut novel about a young man given a shot at stardom as the lone Black salesman at a mysterious, cult-like, and wildly successful startup where nothing is as it seems.There’s nothing like a Black salesman on a mission. An unambitious twenty-two-year-old, Darren lives in a Bed-Stuy brownstone with his mother, who wants nothing more than to see him live up to his potential as the valedictorian of Bronx Science. But Darren is content working at Starbucks in the lobby of a Midtown office building, hanging out with his girlfriend, Soraya, and eating his mother’s home-cooked meals. All that changes when a chance encounter with Rhett Daniels, the silver-tongued CEO of Sumwun, NYC’s hottest tech startup, results in an exclusive invitation for Darren to join an elite sales team on the thirty-sixth floor. After enduring a “hell week” of training, Darren, the only Black person in the company, reimagines himself as “Buck,” a ruthless salesman unrecognizable to his friends and family. But when things turn tragic at home and Buck feels he’s hit rock bottom, he begins to hatch a plan to help young people of color infiltrate America’s sales force, setting off a chain of events that forever changes the game.Black Buck is a hilarious, razor-sharp skewering of America’s workforce; it is a propulsive, crackling debut that explores ambition and race, and makes way for a necessary new vision of the American dream.",fiction
Infinite Country,Patricia Engel,3.94,"['Fiction', 'Contemporary', 'Historical', 'Fiction', 'Literary', 'Fiction', 'Audiobook', 'Adult', 'Family']",191,"An alternative cover edition for this ISBN can be found here and here.
I often wonder if we are living the wrong life in the wrong country.
Talia is being held at a correctional facility for adolescent girls in the forested mountains of Colombia after committing an impulsive act of violence that may or may not have been warranted. She urgently needs to get out and get back home to Bogotá, where her father and a plane ticket to the United States are waiting for her. If she misses her flight, she might also miss her chance to finally be reunited with her family in the north.How this family came to occupy two different countries, two different worlds, comes into focus like twists of a kaleidoscope. We see Talia’s parents, Mauro and Elena, fall in love in a market stall as teenagers against a backdrop of civil war and social unrest. We see them leave Bogotá with their firstborn, Karina, in pursuit of safety and opportunity in the United States on a temporary visa, and we see the births of two more children, Nando and Talia, on American soil. We witness the decisions and indecisions that lead to Mauro’s deportation and the family’s splintering—the costs they’ve all been living with ever since.Award-winning, internationally acclaimed author Patricia Engel, herself a dual citizen and the daughter of Colombian immigrants, gives voice to all five family members as they navigate the particulars of their respective circumstances. And all the while, the metronome ticks: Will Talia make it to Bogotá in time? And if she does, can she bring herself to trade the solid facts of her father and life in Colombia for the distant vision of her mother and siblings in America?Rich with Bogotá urban life, steeped in Andean myth, and tense with the daily reality of the undocumented in America, Infinite Country is the story of two countries and one mixed-status family—for whom every triumph is stitched with regret, and every dream pursued bears the weight of a dream deferred.",fiction
The Sentence,Louise Erdrich,3.97,"['Fiction', 'Fantasy', 'Magical', 'Realism', 'Contemporary', 'Literary', 'Fiction', 'Books', 'About', 'Books', 'Audiobook']",387,"The Sentence asks what we owe to the living, the dead, to the reader and to the book.A small independent bookstore in Minneapolis is haunted from November 2019 to November 2020 by the store's most annoying customer. Flora dies on All Souls' Day, but she simply won't leave the store. Tookie, who has landed a job selling books after years of incarceration that she survived by reading with murderous attention, must solve the mystery of this haunting while at the same time trying to understand all that occurs in Minneapolis during a year of grief, astonishment, isolation, and furious reckoning.The Sentence begins on All Souls' Day 2019 and ends on All Souls' Day 2020. Its mystery and proliferating ghost stories during this one year propel a narrative as rich, emotional, and profound as anything Louise Erdrich has written.",fiction
This Close to Okay,Leesa Cross-Smith,3.71,"['Fiction', 'Contemporary', 'Romance', 'Mental', 'Health', 'Adult', 'Audiobook', 'Literary', 'Fiction']",320,"From the award-winning Southern writer who Roxane Gay calls ""a consummate storyteller"" comes a cathartic novel about the life-changing weekend shared between two strangers: a therapist and the man she prevents from ending his life. On a rainy October night in Kentucky, recently divorced therapist Tallie Clark is on her way home from work when she spots a man precariously standing on the side of a bridge. Without a second thought, Tallie pulls over and jumps out of the car into the pouring rain. She convinces the man to join her for a cup of coffee, and he eventually agrees to come back to her house, where he finally shares his name: Emmett.Over the course of the emotionally charged weekend that follows, Tallie makes it her mission to provide a safe space for Emmett, though she hesitates to confess that this is also her day job. But what she doesn't realize is that he's not the only one who needs healing -- and she's not the only one with secrets.Alternating between Tallie and Emmett's perspectives as they inch closer to the truth of what brought Emmett to the bridge's edge -- as well as the hard truths Tallie has been grappling with in her own life -- This Close to Okay is a vibrant, powerful story of two strangers brought together by wild chance at the moment they needed each other most.",fiction
Bewilderment,Richard Powers,3.93,"['Fiction', 'Science', 'Fiction', 'Literary', 'Fiction', 'Contemporary', 'Nature', 'Audiobook', 'Environment']",278,"A heartrending new novel from the Pulitzer Prize–winning and #1 New York Times best-selling author of The Overstory.The astrobiologist Theo Byrne searches for life throughout the cosmos while single-handedly raising his unusual nine-year-old, Robin, following the death of his wife. Robin is a warm, kind boy who spends hours painting elaborate pictures of endangered animals. He’s also about to be expelled from third grade for smashing his friend in the face. As his son grows more troubled, Theo hopes to keep him off psychoactive drugs. He learns of an experimental neurofeedback treatment to bolster Robin’s emotional control, one that involves training the boy on the recorded patterns of his mother’s brain…With its soaring descriptions of the natural world, its tantalizing vision of life beyond, and its account of a father and son’s ferocious love, Bewilderment marks Richard Powers’s most intimate and moving novel. At its heart lies the question: How can we tell our children the truth about this beautiful, imperiled planet?",fiction
Oh William!,Elizabeth Strout,3.87,"['Fiction', 'Literary', 'Fiction', 'Contemporary', 'Audiobook', 'Family', 'Novels', 'Adult', 'Fiction']",240,"Lucy Barton is a writer, but her ex-husband, William, remains a hard man to read. William, she confesses, has always been a mystery to me. Another mystery is why the two have remained connected after all these years. They just are. So Lucy is both surprised and not surprised when William asks her to join him on a trip to investigate a recently uncovered family secret—one of those secrets that rearrange everything we think we know about the people closest to us. What happens next is nothing less than another example of what Hilary Mantel has called Elizabeth Strout’s “perfect attunement to the human condition.” There are fears and insecurities, simple joys and acts of tenderness, and revelations about affairs and other spouses, parents and their children. On every page of this exquisite novel we learn more about the quiet forces that hold us together—even after we’ve grown apart. At the heart of this story is the indomitable voice of Lucy Barton, who offers a profound, lasting reflection on the very nature of existence. “This is the way of life,” Lucy says: “the many things we do not know until it is too late.”",fiction
One Two Three,Laurie Frankel,3.88,"['Fiction', 'Audiobook', 'Contemporary', 'Literary', 'Fiction', 'Adult', 'Coming', 'Of', 'Age', 'Adult', 'Fiction']",416,"
In a town where nothing ever changes, suddenly everything does...
Everyone knows everyone in the tiny town of Bourne, but the Mitchell triplets are especially beloved. Mirabel is the smartest person anyone knows, and no one doubts it just because she can’t speak. Monday is the town’s purveyor of books now that the library’s closed―tell her the book you think you want, and she’ll pull the one you actually do from the microwave or her sock drawer. Mab’s job is hardest of all: get good grades, get into college, get out of Bourne.For a few weeks seventeen years ago, Bourne was national news when its water turned green. The girls have come of age watching their mother’s endless fight for justice. But just when it seems life might go on the same forever, the first moving truck anyone’s seen in years pulls up and unloads new residents and old secrets. Soon, the Mitchell sisters are taking on a system stacked against them and uncovering mysteries buried longer than they’ve been alive. Because it's hard to let go of the past when the past won't let go of you.Three unforgettable narrators join together here to tell a spellbinding story with wit, wonder, and deep affection. As she did in This Is How It Always Is, Laurie Frankel has written a laugh-out-loud-on-one-page-grab-a-tissue-the-next novel, as only she can, about how expanding our notions of normal makes the world a better place for everyone and how when days are darkest, it’s our daughters who will save us all.",fiction
The Last Thing He Told Me,Laura Dave,3.85,"['Mystery', 'Fiction', 'Thriller', 'Audiobook', 'Mystery', 'Thriller', 'Suspense', 'Contemporary']",306,"Before Owen Michaels disappears, he manages to smuggle a note to his beloved wife of one year: Protect her. Despite her confusion and fear, Hannah Hall knows exactly to whom the note refers—Owen’s sixteen-year-old daughter, Bailey. Bailey, who lost her mother tragically as a child. Bailey, who wants absolutely nothing to do with her new stepmother. As Hannah’s increasingly desperate calls to Owen go unanswered, as the FBI arrests Owen’s boss, as a U.S. Marshal and federal agents arrive at her Sausalito home unannounced, Hannah quickly realizes her husband isn’t who he said he was. And that Bailey just may hold the key to figuring out Owen’s true identity—and why he really disappeared.Hannah and Bailey set out to discover the truth. But as they start putting together the pieces of Owen’s past, they soon realize they are also building a new future—one neither of them could have anticipated.",mystery-thriller
The Maidens,Alex Michaelides,3.62,"['Mystery', 'Thriller', 'Fiction', 'Mystery', 'Thriller', 'Audiobook', 'Adult', 'Mythology']",337,"Edward Fosca is a murderer. Of this Mariana is certain. But Fosca is untouchable. A handsome and charismatic Greek Tragedy professor at Cambridge University, Fosca is adored by staff and students alike—particularly by the members of a secret society of female students known as The Maidens. Mariana Andros is a brilliant but troubled group therapist who becomes fixated on The Maidens when one member, a friend of Mariana’s niece Zoe, is found murdered in Cambridge. Mariana, who was once herself a student at the university, quickly suspects that behind the idyllic beauty of the spires and turrets, and beneath the ancient traditions, lies something sinister. And she becomes convinced that, despite his alibi, Edward Fosca is guilty of the murder. But why would the professor target one of his students? And why does he keep returning to the rites of Persephone, the maiden, and her journey to the underworld?When another body is found, Mariana’s obsession with proving Fosca’s guilt spirals out of control, threatening to destroy her credibility as well as her closest relationships. But Mariana is determined to stop this killer, even if it costs her everything—including her own life.",mystery-thriller
Billy Summers,Stephen King,4.21,"['Fiction', 'Thriller', 'Horror', 'Mystery', 'Crime', 'Audiobook', 'Mystery', 'Thriller']",515,"Billy Summers is a man in a room with a gun. He’s a killer for hire and the best in the business. But he’ll do the job only if the target is a truly bad guy. And now Billy wants out. But first there is one last hit. Billy is among the best snipers in the world, a decorated Iraq war vet, a Houdini when it comes to vanishing after the job is done. So what could possibly go wrong?How about everything...",mystery-thriller
The Push,Ashley Audrain,4.07,"['Thriller', 'Fiction', 'Mystery', 'Mystery', 'Thriller', 'Audiobook', 'Contemporary', 'Adult']",307,"A tense, page-turning psychological drama about the making and breaking of a family–and a woman whose experience of motherhood is nothing at all what she hoped for–and everything she feared.Blythe Connor is determined that she will be the warm, comforting mother to her new baby Violet that she herself never had.But in the thick of motherhood’s exhausting early days, Blythe becomes convinced that something is wrong with her daughter–she doesn’t behave like most children do.Or is it all in Blythe’s head? Her husband, Fox, says she’s imagining things. The more Fox dismisses her fears, the more Blythe begins to question her own sanity, and the more we begin to question what Blythe is telling us about her life as well.Then their son Sam is born–and with him, Blythe has the blissful connection she’d always imagined with her child. Even Violet seems to love her little brother. But when life as they know it is changed in an instant, the devastating fall-out forces Blythe to face the truth.The Push is a tour de force you will read in a sitting, an utterly immersive novel that will challenge everything you think you know about motherhood, about what we owe our children, and what it feels like when women are not believed.",mystery-thriller
Arsenic and Adobo,Mia P. Manansala,3.54,"['Mystery', 'Fiction', 'Cozy', 'Mystery', 'Mystery', 'Thriller', 'Contemporary', 'Audiobook', 'Adult']",308,"The first book in a new culinary cozy series full of sharp humor and delectable dishes—one that might just be killer….When Lila Macapagal moves back home to recover from a horrible breakup, her life seems to be following all the typical rom-com tropes. She’s tasked with saving her Tita Rosie’s failing restaurant, and she has to deal with a group of matchmaking aunties who shower her with love and judgment. But when a notoriously nasty food critic (who happens to be her ex-boyfriend) drops dead moments after a confrontation with Lila, her life quickly swerves from a Nora Ephron romp to an Agatha Christie case.With the cops treating her like she’s the one and only suspect, and the shady landlord looking to finally kick the Macapagal family out and resell the storefront, Lila’s left with no choice but to conduct her own investigation. Armed with the nosy auntie network, her barista best bud, and her trusted Dachshund, Longanisa, Lila takes on this tasty, twisted case and soon finds her own neck on the chopping block…",mystery-thriller
Harlem Shuffle,Colson Whitehead,3.74,"['Fiction', 'Historical', 'Fiction', 'Mystery', 'Crime', 'Audiobook', 'Literary', 'Fiction', 'Historical']",318,"From the two-time Pulitzer Prize-winning author of The Underground Railroad and The Nickel Boys, a gloriously entertaining novel of heists, shakedowns, and rip-offs set in Harlem in the 1960s.“Ray Carney was only slightly bent when it came to being crooked…” To his customers and neighbors on 125th street, Carney is an upstanding salesman of reasonably priced furniture, making a decent life for himself and his family. He and his wife Elizabeth are expecting their second child, and if her parents on Striver’s Row don’t approve of him or their cramped apartment across from the subway tracks, it’s still home. Few people know he descends from a line of uptown hoods and crooks, and that his façade of normalcy has more than a few cracks in it. Cracks that are getting bigger all the time. Cash is tight, especially with all those installment-plan sofas, so if his cousin Freddie occasionally drops off the odd ring or necklace, Ray doesn’t ask where it comes from. He knows a discreet jeweler downtown who doesn’t ask questions, either. Then Freddie falls in with a crew who plan to rob the Hotel Theresa—the “Waldorf of Harlem”—and volunteers Ray’s services as the fence. The heist doesn’t go as planned; they rarely do. Now Ray has a new clientele, one made up of shady cops, vicious local gangsters, two-bit pornographers, and other assorted Harlem lowlifes. Thus begins the internal tussle between Ray the striver and Ray the crook. As Ray navigates this double life, he begins to see who actually pulls the strings in Harlem. Can Ray avoid getting killed, save his cousin, and grab his share of the big score, all while maintaining his reputation as the go-to source for all your quality home furniture needs? Harlem Shuffle’s ingenious story plays out in a beautifully recreated New York City of the early 1960s. It’s a family saga masquerading as a crime novel, a hilarious morality play, a social novel about race and power, and ultimately a love letter to Harlem. But mostly, it’s a joy to read, another dazzling novel from the Pulitzer Prize and National Book Award-winning Colson Whitehead.",mystery-thriller
Apples Never Fall,Liane Moriarty,3.78,"['Fiction', 'Mystery', 'Audiobook', 'Thriller', 'Mystery', 'Thriller', 'Contemporary', 'Adult']",467,"From #1 New York Times bestselling author Liane Moriarty comes a novel that looks at marriage, siblings, and how the people we love the most can hurt us the deepestThe Delaney family love one another dearly—it’s just that sometimes they want to murder each other . . .If your mother was missing, would you tell the police? Even if the most obvious suspect was your father?This is the dilemma facing the four grown Delaney siblings.The Delaneys are fixtures in their community. The parents, Stan and Joy, are the envy of all of their friends. They’re killers on the tennis court, and off it their chemistry is palpable. But after fifty years of marriage, they’ve finally sold their famed tennis academy and are ready to start what should be the golden years of their lives. So why are Stan and Joy so miserable?The four Delaney children—Amy, Logan, Troy, and Brooke—were tennis stars in their own right, yet as their father will tell you, none of them had what it took to go all the way. But that’s okay, now that they’re all successful grown-ups and there is the wonderful possibility of grandchildren on the horizon.One night a stranger named Savannah knocks on Stan and Joy’s door, bleeding after a fight with her boyfriend. The Delaneys are more than happy to give her the small kindness she sorely needs. If only that was all she wanted.Later, when Joy goes missing, and Savannah is nowhere to be found, the police question the one person who remains: Stan. But for someone who claims to be innocent, he, like many spouses, seems to have a lot to hide. Two of the Delaney children think their father is innocent, two are not so sure—but as the two sides square off against each other in perhaps their biggest match ever, all of the Delaneys will start to reexamine their shared family history in a very new light.",mystery-thriller
